UC Name,Group ID,Set ID,Num Required,Receiving,Courses Group 1,Courses Group 2,Courses Group 3,Courses Group 4
UCB,Calc1,A,1,MATH 1A,MATH 1A,,,
UCB,Calc2,A,1,MATH 1B,MATH 1B,,,
UCB,MultivariableCalc,A,1,MATH 53,MATH 1C,,,
UCB,LinearAlgebraAndDifferentialEqations,A,1,MATH 54,MATH 2; MATH 2C,,,
UCD,DiscreteMath,A,1,ECS 020,CSIS 26,,,
UCD,Intro1,A,1,ECS 036A,CSIS 45,,,
UCD,Intro2,A,1,ECS 036B,Not Articulated,,,
UCD,DataStructures,A,1,ECS 036C,CSIS 27,,,
UCD,Organization,A,1,ECS 050,CSIS 12; CSIS 12L,,,
UCD,Calc1,A,1,MAT 021A,MATH 1A,,,
UCD,Calc2,A,1,MAT 021B,MATH 1B,,,
UCD,Calc3,A,1,MAT 021C,MATH 1C,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,
UCI,Intro,A,3,I&C SCI 31; I&C SCI 32; I&C SCI 33,Not Articulated,,,
UCI,Calc1,A,1,MATH 2A,MATH 1A,,,
UCI,Calc2,A,1,MATH 2B,MATH 1B,,,
UCLA,Intro,A,1,COM SCI 31,Not Articulated,,,
UCLA,Calc1,A,1,MATH 31A,MATH 1A,,,
UCLA,Calc2,A,1,MATH 31B,MATH 1B,,,
UCLA,Calc3,A,1,MATH 32A,MATH 1C,,,
UCLA,Calc4,A,1,MATH 32B,MATH 1C,,,
UCLA,LinearAlgebra,A,1,MATH 33A,MATH 2,,,
UCLA,DifferentialEquations,A,1,MATH 33B,MATH 2C,,,
UCM,DataStructures,A,1,CSE 030,CSIS 46,,,
UCM,Calc1,A,1,MATH 021,MATH 1A,,,
UCM,Calc2,A,1,MATH 022,MATH 1B,,,
UCM,VectorCalc,A,1,MATH 023,MATH 1C,,,
UCM,LinearAlgebra,A,1,MATH 024,MATH 2; MATH 2C,,,
UCM,DataStructures,A,1,CSE 030,CSIS 46,,,
UCR,Intro1,A,1,CS 10A,CSIS 18; CSIS 18L,CSIS 24,CSIS 43,CSIS 45
UCR,Intro2,A,1,CS 10B,CSIS 46,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B,,,
UCR,Calc,A,3,MATH 9A; MATH 9B; MATH 9C,MATH 1A; MATH 1B,,,
UCSD,Intro,A,1,CSE 8B,Not Articulated,,,
UCSD,Intro,B,1,CSE 11,Not Articulated,,,
UCSD,DataStructures,A,1,CSE 12,Not Articulated,,,
UCSD,DiscreteMath,A,1,CSE 20,CSIS 26,,,
UCSD,LinearAlgebra,A,1,MATH 18,MATH 2,,,
UCSD,Calc1,A,1,MATH 20A,MATH 1A,,,
UCSD,Calc2,A,1,MATH 20B,MATH 1B,,,
UCSD,Calc3,A,1,MATH 20C,MATH 1C,,,
UCSB,Calc1,A,1,MATH 3A,MATH 1A,,,
UCSB,Calc2,A,1,MATH 3B,MATH 1B,,,
UCSB,LinearAlgebra,A,1,MATH 4A,MATH 2,,,
UCSB,DifferentialEquations,A,1,MATH 4B,MATH 2C,,,
UCSB,Comp1,A,1,CMPSC 16,CSIS 45,,,
UCSB,Comp2,A,1,CMPSC 24,CSIS 46,,,
UCSB,Comp3,A,1,CMPSC 40,CSIS 26,MATH 16,,
UCSC,DataStructures,A,1,CSE 12,CSIS 12; CSIS 12L,,,
UCSC,DiscreteMath,A,1,CSE 16,CSIS 26,,,
UCSC,Intro,A,1,CSE 30,CSIS 46,,,
UCSC,Calc1,A,1,MATH 19A,MATH 1A,,,
UCSC,Calc2,A,1,MATH 19B,MATH 1B,,,
